url,statut_gsc,derniere_exploration,canonical_utilisateur,canonical_google,sitemap,date_publication,route,decision,raison_decision,present_build,present_sitemap_build,canonical_build,robots_build,langue_build,mots_build,inlinks_build,profondeur_hub,titles_dupliques
https://l0g.fr/12/,"Détectée, actuellement non indexée",,https://l0g.fr/12/,,oui,,/12/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/12/,index,fr,1605,2,7,
https://l0g.fr/13/,"Détectée, actuellement non indexée",,https://l0g.fr/13/,,oui,,/13/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/13/,index,fr,1428,2,6,
https://l0g.fr/en/analysis/chip-relapse-bear-market-record-profits/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/chip-relapse-bear-market-record-profits/,,oui,2026-07-17T18:46:00.000Z,/en/analysis/chip-relapse-bear-market-record-profits/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/chip-relapse-bear-market-record-profits/,index,en,2291,3,2,
https://l0g.fr/en/analysis/collateral-that-cannot-leave-the-building/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/collateral-that-cannot-leave-the-building/,,oui,2026-08-18T19:30:00.000Z,/en/analysis/collateral-that-cannot-leave-the-building/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/collateral-that-cannot-leave-the-building/,index,en,2737,2,2,
https://l0g.fr/en/analysis/digital-euro-1-the-euro-that-changes-its-debtor/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/digital-euro-1-the-euro-that-changes-its-debtor/,,oui,2026-08-13T08:30:00.000Z,/en/analysis/digital-euro-1-the-euro-that-changes-its-debtor/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/digital-euro-1-the-euro-that-changes-its-debtor/,index,en,3766,10,2,
https://l0g.fr/en/analysis/digital-euro-3-as-private-as-cash/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/digital-euro-3-as-private-as-cash/,,oui,2026-08-13T22:20:00.000Z,/en/analysis/digital-euro-3-as-private-as-cash/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/digital-euro-3-as-private-as-cash/,index,en,4919,10,2,
https://l0g.fr/en/analysis/digital-euro-4-programmable-money-legal-boundary/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/digital-euro-4-programmable-money-legal-boundary/,,oui,2026-08-14T06:30:00.000Z,/en/analysis/digital-euro-4-programmable-money-legal-boundary/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/digital-euro-4-programmable-money-legal-boundary/,index,en,5127,6,2,
https://l0g.fr/en/analysis/digital-euro-5-price-of-sovereignty/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/digital-euro-5-price-of-sovereignty/,,oui,2026-08-14T16:30:00.000Z,/en/analysis/digital-euro-5-price-of-sovereignty/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/digital-euro-5-price-of-sovereignty/,index,en,4511,7,2,
https://l0g.fr/en/analysis/digital-euro-6-who-controls-the-machine/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/digital-euro-6-who-controls-the-machine/,,oui,2026-08-15T12:02:00.000Z,/en/analysis/digital-euro-6-who-controls-the-machine/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/digital-euro-6-who-controls-the-machine/,index,en,4302,5,2,
https://l0g.fr/en/analysis/do-strip-clubs-really-predict-recessions/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/do-strip-clubs-really-predict-recessions/,,oui,2026-08-02T11:35:00.000Z,/en/analysis/do-strip-clubs-really-predict-recessions/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/do-strip-clubs-really-predict-recessions/,index,en,1792,2,2,
https://l0g.fr/en/analysis/dollar-yen-intervention-carry-unwind/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/dollar-yen-intervention-carry-unwind/,,oui,2026-07-14T07:30:00.000Z,/en/analysis/dollar-yen-intervention-carry-unwind/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/dollar-yen-intervention-carry-unwind/,index,en,905,9,2,
https://l0g.fr/en/analysis/energy-rating-enters-bank-balance-sheet/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/energy-rating-enters-bank-balance-sheet/,,oui,2026-08-05T10:42:50.000Z,/en/analysis/energy-rating-enters-bank-balance-sheet/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/energy-rating-enters-bank-balance-sheet/,index,en,2168,2,2,
https://l0g.fr/en/analysis/european-risk-national-fund-supervision/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/european-risk-national-fund-supervision/,,oui,2026-08-01T20:50:00.000Z,/en/analysis/european-risk-national-fund-supervision/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/european-risk-national-fund-supervision/,index,en,1979,3,2,
https://l0g.fr/en/analysis/how-much-is-one-centimetre-of-danube-worth/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/how-much-is-one-centimetre-of-danube-worth/,,oui,2026-08-20T11:28:00.000Z,/en/analysis/how-much-is-one-centimetre-of-danube-worth/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/how-much-is-one-centimetre-of-danube-worth/,index,en,3536,11,2,
https://l0g.fr/en/analysis/india-sugar-ethanol-e20/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/india-sugar-ethanol-e20/,,oui,2026-08-19T03:12:00.000Z,/en/analysis/india-sugar-ethanol-e20/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/india-sugar-ethanol-e20/,index,en,3077,4,2,
