period_start,period_end,page,query,country,device,clicks,impressions,ctr,position_displayed
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-h41-fed-balance-sheet/,h.4.1,ALL,ALL,0,1,0.0,5.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,%imf cofer us dollar share global foreign exchange reserves 2025,ALL,ALL,0,5,0.0,3.8
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,%imf cofer us dollar share global reserves 2026,ALL,ALL,0,3,0.0,5.3
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,us dollar share of global foreign exchange reserves 2025 imf cofer,ALL,ALL,0,2,0.0,3.5
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer us dollar share global foreign exchange reserves 2025,ALL,ALL,0,2,0.0,5.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer dollar share global foreign exchange reserves 2025,ALL,ALL,0,1,0.0,4.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer dollar share reserves latest 2025,ALL,ALL,0,1,0.0,5.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer us dollar share global reserves 2025,ALL,ALL,0,1,0.0,5.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,cofer,ALL,ALL,0,1,0.0,9.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer us dollar share allocated foreign exchange reserves latest 2026,ALL,ALL,0,1,0.0,9.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,what is cofer,ALL,ALL,0,1,0.0,10.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer,ALL,ALL,0,1,0.0,16.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,%imf cofer us dollar share global foreign exchange reserves 2025,USA,DESKTOP,0,5,0.0,3.8
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer us dollar share global foreign exchange reserves 2025,USA,DESKTOP,0,2,0.0,5.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer dollar share reserves latest 2025,USA,DESKTOP,0,1,0.0,5.0
2026-09-04,2026-09-09,https://l0g.fr/en/guides/read-central-bank-fx-reserves-cofer/,imf cofer us dollar share global reserves 2025,USA,DESKTOP,0,1,0.0,5.0
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/bessent-yield-threshold-30-year-treasury/,"site.treasurydirect.gov ""buybacks"" ""financed""",ALL,ALL,0,1,0.0,4.0
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/ai-boom-bis-financial-fragility/,"site.bis.org ""financing the ai boom""",ALL,ALL,0,2,0.0,10.0
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/ai-boom-bis-financial-fragility/,bis circular financing,ALL,ALL,0,1,0.0,8.0
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/taiwan-life-insurers-724-billion-currency-risk/,"in november 2025, the taiwan life insurance industry association submitted its proposal to the regulator, the fsc, on changes to the accounting treatment of fx gains and losses. the association submitted four",ALL,ALL,0,1,0.0,26.0
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/taiwan-life-insurers-724-billion-currency-risk/,"in november 2025, the taiwan life insurance industry association submitted its proposal to the regulator, the fsc, on changes to the accounting treatment of fx gains and losses. the association submitted four",USA,DESKTOP,0,1,0.0,26.0
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/realt-liquidation-token-without-the-deed/,realt liquidation,ALL,ALL,0,2,0.0,8.0
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/realt-liquidation-token-without-the-deed/,delomel realt,ALL,ALL,0,1,0.0,9.0
2026-09-04,2026-09-09,https://l0g.fr/en/start/,l0g,ALL,ALL,1,64,0.015625,3.6
2026-09-04,2026-09-09,https://l0g.fr/en/start/,c'est fiable ?,ALL,ALL,0,1,0.0,3.0
2026-09-04,2026-09-09,https://l0g.fr/en/start/,l0g.fr,ALL,ALL,0,1,0.0,6.0
2026-09-04,2026-09-09,https://l0g.fr/en/start/,l0g,USA,DESKTOP,0,6,0.0,3.3
2026-09-04,2026-09-09,https://l0g.fr/en/start/,l0g.fr,USA,DESKTOP,0,1,0.0,6.0
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/softbank-openai-liquidity-risk/,svf ii tsubaki (de) llc,ALL,ALL,1,6,0.16666666666666666,3.2
2026-09-04,2026-09-09,https://l0g.fr/en/analysis/softbank-openai-liquidity-risk/,svf ii tsubaki (de) llc,USA,DESKTOP,0,1,0.0,4.0
