url,statut_gsc,derniere_exploration,canonical_utilisateur,canonical_google,sitemap,date_publication
https://l0g.fr/3,Page avec redirection,2026-08-29,,,,
http://l0g.fr/,Page avec redirection,2026-08-28,,,,
https://l0g.fr/5,Page avec redirection,2026-08-28,,,,
https://l0g.fr/2,Page avec redirection,2026-08-26,,,,
https://l0g.fr/posts/la-bulle-dans-la-bulle-valorisations-ia-et-benefices-gonfles,Page avec redirection,2026-08-26,,,,
https://www.l0g.fr/,Page avec redirection,2026-08-22,,,,
https://l0g.fr/6,Page avec redirection,2026-08-22,,,,
http://www.l0g.fr/,Page avec redirection,2026-08-19,,,,
https://l0g.fr/mag7/,Page avec redirection,2026-08-12,,,,
https://l0g.fr/mcp,Page avec redirection,2026-08-05,,,,
https://l0g.fr/usd/,Page avec redirection,2026-08-01,,,,
https://l0g.fr/4,Page avec redirection,2026-07-20,,,,
https://l0g.fr/recherche/?q,Autre page avec balise canonique correcte,2026-07-22,,,,
https://www.l0g.fr/posts/mou-usa-iran-juin-2026/,Autre page avec balise canonique correcte,2026-07-18,,,,
https://www.l0g.fr/posts/warsh-bilan-qt/,Autre page avec balise canonique correcte,2026-07-02,,,,
