url,statut_gsc,derniere_exploration,canonical_utilisateur,canonical_google,sitemap,date_publication,route,decision,raison_decision,present_build,present_sitemap_build,canonical_build,robots_build,langue_build,mots_build,inlinks_build,profondeur_hub,titles_dupliques
https://l0g.fr/3,Page avec redirection,2026-08-29,https://l0g.fr/3/,,oui,,/3/,redirection,normaliser le chemin vers /3/,oui,oui,https://l0g.fr/3/,index,fr,908,3,1,
http://l0g.fr/,Page avec redirection,2026-08-28,https://l0g.fr/,,oui,,/,redirection,consolider l’origine vers https://l0g.fr/,oui,oui,https://l0g.fr/,index,fr,1383,1230,0,
https://l0g.fr/5,Page avec redirection,2026-08-28,https://l0g.fr/5/,,oui,,/5/,redirection,normaliser le chemin vers /5/,oui,oui,https://l0g.fr/5/,index,fr,1098,5,1,
https://l0g.fr/2,Page avec redirection,2026-08-26,https://l0g.fr/2/,,oui,,/2/,redirection,normaliser le chemin vers /2/,oui,oui,https://l0g.fr/2/,index,fr,908,3,1,
https://l0g.fr/posts/la-bulle-dans-la-bulle-valorisations-ia-et-benefices-gonfles,Page avec redirection,2026-08-26,https://l0g.fr/posts/la-bulle-dans-la-bulle-valorisations-ia-et-benefices-gonfles/,,oui,2026-07-06T09:12:36.000Z,/posts/la-bulle-dans-la-bulle-valorisations-ia-et-benefices-gonfles/,redirection,normaliser le chemin vers /posts/la-bulle-dans-la-bulle-valorisations-ia-et-benefices-gonfles/,oui,oui,https://l0g.fr/posts/la-bulle-dans-la-bulle-valorisations-ia-et-benefices-gonfles/,index,fr,3819,9,2,
https://www.l0g.fr/,Page avec redirection,2026-08-22,https://l0g.fr/,,oui,,/,redirection,consolider l’origine vers https://l0g.fr/,oui,oui,https://l0g.fr/,index,fr,1383,1230,0,
https://l0g.fr/6,Page avec redirection,2026-08-22,https://l0g.fr/6/,,oui,,/6/,redirection,normaliser le chemin vers /6/,oui,oui,https://l0g.fr/6/,index,fr,1019,2,2,
http://www.l0g.fr/,Page avec redirection,2026-08-19,https://l0g.fr/,,oui,,/,redirection,consolider l’origine vers https://l0g.fr/,oui,oui,https://l0g.fr/,index,fr,1383,1230,0,
https://l0g.fr/mag7/,Page avec redirection,2026-08-12,https://l0g.fr/sujet/marches-valorisations/,,non,,/mag7/,redirection,/sujet/marches-valorisations/,oui,non,https://l0g.fr/sujet/marches-valorisations/,noindex,,8,0,,/marches-us/
https://l0g.fr/mcp,Page avec redirection,2026-08-05,https://l0g.fr/mcp/,,oui,,/mcp/,redirection,normaliser le chemin vers /mcp/,oui,oui,https://l0g.fr/mcp/,index,fr,2449,871,1,
https://l0g.fr/usd/,Page avec redirection,2026-08-01,https://l0g.fr/guides/lire-le-dollar-dxy-cross-currency-basis/,,non,,/usd/,redirection,/guides/lire-le-dollar-dxy-cross-currency-basis/,oui,non,https://l0g.fr/guides/lire-le-dollar-dxy-cross-currency-basis/,noindex,,8,0,,
https://l0g.fr/4,Page avec redirection,2026-07-20,https://l0g.fr/4/,,oui,,/4/,redirection,normaliser le chemin vers /4/,oui,oui,https://l0g.fr/4/,index,fr,965,4,1,
https://l0g.fr/recherche/?q,Autre page avec balise canonique correcte,2026-07-22,https://l0g.fr/recherche/,,non,,/recherche/,noindex_voulu,politique noindex explicite,oui,non,https://l0g.fr/recherche/,noindex,fr,478,870,1,
https://www.l0g.fr/posts/mou-usa-iran-juin-2026/,Autre page avec balise canonique correcte,2026-07-18,https://l0g.fr/posts/mou-usa-iran-juin-2026/,,oui,2026-06-18T07:30:00.000Z,/posts/mou-usa-iran-juin-2026/,redirection,consolider l’origine vers https://l0g.fr/posts/mou-usa-iran-juin-2026/,oui,oui,https://l0g.fr/posts/mou-usa-iran-juin-2026/,index,fr,3122,10,2,
https://www.l0g.fr/posts/warsh-bilan-qt/,Autre page avec balise canonique correcte,2026-07-02,https://l0g.fr/posts/warsh-bilan-qt/,,oui,2026-06-11T00:00:00.000Z,/posts/warsh-bilan-qt/,redirection,consolider l’origine vers https://l0g.fr/posts/warsh-bilan-qt/,oui,oui,https://l0g.fr/posts/warsh-bilan-qt/,index,fr,2929,12,2,
