sequence,year,return_pct,initial_eur,first_budget_eur,inflation_pct,annual_fee_pct,mode,budget_nominal_eur,requested_nominal_eur,paid_nominal_eur,budget_gap_nominal_eur,closing_nominal_eur,closing_time0_eur
A,1,-20,200000,10000,2,0,fixed,10000.00000000,10000.00000000,10000.00000000,0.00000000,150000.00000000,147058.82352941
A,2,-10,200000,10000,2,0,fixed,10200.00000000,10200.00000000,10200.00000000,0.00000000,124800.00000000,119953.86389850
A,3,5,200000,10000,2,0,fixed,10404.00000000,10404.00000000,10404.00000000,0.00000000,120636.00000000,113677.99715042
A,4,8,200000,10000,2,0,fixed,10612.08000000,10612.08000000,10612.08000000,0.00000000,119674.80000000,110561.01659064
A,5,12,200000,10000,2,0,fixed,10824.32160000,10824.32160000,10824.32160000,0.00000000,123211.45440000,111596.41037403
A,6,10,200000,10000,2,0,fixed,11040.80803200,11040.80803200,11040.80803200,0.00000000,124491.79180800,110545.14844259
A,7,7,200000,10000,2,0,fixed,11261.62419264,11261.62419264,11261.62419264,0.00000000,121944.59304192,106160.10669957
A,8,15,200000,10000,2,0,fixed,11486.85667649,11486.85667649,11486.85667649,0.00000000,128749.42532172,109886.39480834
A,9,4,200000,10000,2,0,fixed,11716.59381002,11716.59381002,11716.59381002,0.00000000,122182.80852456,102237.10843204
A,10,11,200000,10000,2,0,fixed,11950.92568622,11950.92568622,11950.92568622,0.00000000,123671.99177604,101454.10819565
A,11,6,200000,10000,2,0,fixed,12189.94419995,12189.94419995,12189.94419995,0.00000000,118902.36708265,95628.77910528
A,12,9,200000,10000,2,0,fixed,12433.74308395,12433.74308395,12433.74308395,0.00000000,117169.83703615,92387.61688702
A,13,3,200000,10000,2,0,fixed,12682.41794563,12682.41794563,12682.41794563,0.00000000,108002.51420161,83489.45626826
A,14,14,200000,10000,2,0,fixed,12936.06630454,12936.06630454,12936.06630454,0.00000000,110186.79988529,83507.82367237
A,15,8,200000,10000,2,0,fixed,13194.78763063,13194.78763063,13194.78763063,0.00000000,105806.95624549,78616.12702565
A,16,5,200000,10000,2,0,fixed,13458.68338324,13458.68338324,13458.68338324,0.00000000,97638.62067452,71124.44448719
A,17,12,200000,10000,2,0,fixed,13727.85705091,13727.85705091,13727.85705091,0.00000000,95627.39810456,68293.50767220
A,18,6,200000,10000,2,0,fixed,14002.41419192,14002.41419192,14002.41419192,0.00000000,87362.62779891,61167.76287504
A,19,10,200000,10000,2,0,fixed,14282.46247576,14282.46247576,14282.46247576,0.00000000,81816.42810303,56161.31290445
A,20,7,200000,10000,2,0,fixed,14568.11172528,14568.11172528,14568.11172528,0.00000000,72975.46634497,49110.39687036
A,21,9,200000,10000,2,0,fixed,14859.47395978,14859.47395978,14859.47395978,0.00000000,64683.78435623,42676.79665558
A,22,4,200000,10000,2,0,fixed,15156.66343898,15156.66343898,15156.66343898,0.00000000,52114.47229150,33709.67502137
A,23,13,200000,10000,2,0,fixed,15459.79670776,15459.79670776,15459.79670776,0.00000000,43429.55698164,27541.11056289
A,24,8,200000,10000,2,0,fixed,15768.99264191,15768.99264191,15768.99264191,0.00000000,31134.92889826,19357.25432149
A,25,11,200000,10000,2,0,fixed,16084.37249475,16084.37249475,16084.37249475,0.00000000,18475.39858231,11261.32578123
A,26,5,200000,10000,2,0,fixed,16406.05994465,16406.05994465,16406.05994465,0.00000000,2993.10856678,1788.61967676
A,27,15,200000,10000,2,0,fixed,16734.18114354,16734.18114354,3442.07485180,13292.10629174,0.00000000,0.00000000
A,28,6,200000,10000,2,0,fixed,17068.86476641,17068.86476641,0.00000000,17068.86476641,0.00000000,0.00000000
A,29,12,200000,10000,2,0,fixed,17410.24206174,17410.24206174,0.00000000,17410.24206174,0.00000000,0.00000000
A,30,9,200000,10000,2,0,fixed,17758.44690297,17758.44690297,0.00000000,17758.44690297,0.00000000,0.00000000
B,1,9,200000,10000,2,0,fixed,10000.00000000,10000.00000000,10000.00000000,0.00000000,208000.00000000,203921.56862745
B,2,12,200000,10000,2,0,fixed,10200.00000000,10200.00000000,10200.00000000,0.00000000,222760.00000000,214109.95770857
B,3,6,200000,10000,2,0,fixed,10404.00000000,10404.00000000,10404.00000000,0.00000000,225721.60000000,212702.50506969
B,4,15,200000,10000,2,0,fixed,10612.08000000,10612.08000000,10612.08000000,0.00000000,248967.76000000,230007.72630407
B,5,5,200000,10000,2,0,fixed,10824.32160000,10824.32160000,10824.32160000,0.00000000,250591.82640000,226968.73786203
B,6,11,200000,10000,2,0,fixed,11040.80803200,11040.80803200,11040.80803200,0.00000000,267116.11927200,237191.46963417
B,7,8,200000,10000,2,0,fixed,11261.62419264,11261.62419264,11261.62419264,0.00000000,277223.78462112,241339.98745579
B,8,13,200000,10000,2,0,fixed,11486.85667649,11486.85667649,11486.85667649,0.00000000,301776.01994537,257562.92727945
B,9,4,200000,10000,2,0,fixed,11716.59381002,11716.59381002,11716.59381002,0.00000000,302130.46693317,252809.25918689
B,10,9,200000,10000,2,0,fixed,11950.92568622,11950.92568622,11950.92568622,0.00000000,317371.28327093,260354.99266050
B,11,7,200000,10000,2,0,fixed,12189.94419995,12189.94419995,12189.94419995,0.00000000,327397.32889994,263313.57073209
B,12,10,200000,10000,2,0,fixed,12433.74308395,12433.74308395,12433.74308395,0.00000000,347703.31870599,274161.69392677
B,13,6,200000,10000,2,0,fixed,12682.41794563,12682.41794563,12682.41794563,0.00000000,355883.09988273,275109.21133566
B,14,12,200000,10000,2,0,fixed,12936.06630454,12936.06630454,12936.06630454,0.00000000,385653.00556412,292276.78107445
B,15,5,200000,10000,2,0,fixed,13194.78763063,13194.78763063,13194.78763063,0.00000000,391740.86821169,291069.23541978
